Start Time,End Time,Athlete,Distance (m),RPE,Sprint Events,High Intensity Events,Max Speed (km/h),Average Speed (km/h),Sprint Distance (m) (Speed Zone 6),High intensity Running Distance (m) (Speed Zone 5),Meters / Minutes,Acceleration Events,Deceleration Events,Stationary / Walk (%),Jogging,Low Int Run,Med Int Run,High Int Run,Sprint,Ignore For Averages,Distance Profile M at 1 Kph,Distance Profile M at 2 Kph,Distance Profile M at 3 Kph,Distance Profile M at 4 Kph,Distance Profile M at 5 Kph,Distance Profile M at 6 Kph,Distance Profile M at 7 Kph,Distance Profile M at 8 Kph,Distance Profile M at 9 Kph,Distance Profile M at 10 Kph,Distance Profile M at 11 Kph,Distance Profile M at 12 Kph,Distance Profile M at 13 Kph,Distance Profile M at 14 Kph,Distance Profile M at 15 Kph,Distance Profile M at 16 Kph,Distance Profile M at 17 Kph,Distance Profile M at 18 Kph,Distance Profile M at 19 Kph,Distance Profile M at 20 Kph,Distance Profile M at 21 Kph,Distance Profile M at 22 Kph,Distance Profile M at 23 Kph,Distance Profile M at 24 Kph,Distance Profile M at 25 Kph,Distance Profile M at 26 Kph,Distance Profile M at 27 Kph,Distance Profile M at 28 Kph,Distance Profile M at 29 Kph,Distance Profile M at 30 Kph,Distance Profile M at 31 Kph,Distance Profile M at 32 Kph,Distance Profile M at 33 Kph,Distance Profile M at 34 Kph,Distance Profile M at 35 Kph,Distance Profile M at 36 Kph,Distance Profile M at 37 Kph,Distance Profile M at 38 Kph,Distance Profile M at 39 Kph,Distance Profile M at 40 Kph,Session Type,
08/03/26 13:36,08/03/26 15:26,Arno Van Cauteren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MatchSession
08/03/26 13:36,08/03/26 15:26,Aron,8221.418680918621,,0,11,23.878801345825195,5.735873498315318,0,139.13104017392558,95.59789163858862,40,24,77.32130462134386,10.32839449374935,7.567600914225444,3.9897725100510093,0.7808221483007171,0.012105312329627629,FALSE,34.38456371,157.78060718224208,378.4399697258126,682.4301123542216,1088.9255595189584,1206.9879318858382,588.0998995023631,357.6885262730785,381.35312089435826,424.4081269804383,451.76643700261286,429.9024087314874,405.17551390002166,346.16116823959555,292.51841088140526,247.9035228546983,175.85020868572298,136.88063244521453,124.3672533989955,88.05589533513468,72.72027354906689,58.204827065051234,47.538293552970096,26.79597517059071,13.296190942906733,3.783251131548143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Francesco Ghidini,9601.362257334133,,9,33,29.458802032470704,6.128529100426042,112.51369533662448,269.13507416310347,102.14215167376737,68,60,78.10816642,10.23926627137084,6.095532037479547,4.196304653103976,1.0317354596772879,0.32899515351434605,FALSE,22.581349988125275,119.85718140391853,429.56345610480423,966.1404599005812,1691.7179580606207,1431.2681192973887,494.4456215456071,365.75487795193646,431.4771031380832,448.7244309588022,458.2889733340533,406.37220288296953,323.45870841143415,303.0955817867407,278.6382900005377,254.98705057622297,221.11911377004807,203.1346496143265,155.25218975704394,129.06384822384473,116.88837718356831,83.62422630424939,60.652503744960924,32.93952949911333,35.66987335621239,30.549552111262084,30.93388925796676,28.886299235204913,23.299011171642277,16.468423448861003,5.615732125288622,0.46821279101674024,0.42546039769629285,0,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Frederico Aleixo,6289.6091927762445,,4,27,28.64520092010498,6.396212738416519,24.557020849120732,228.57624989270465,106.60354564027533,46,38,73.47904709294765,10.24726731682836,9.186299115,5.123056831668411,1.4632488416659093,0.5010808014699822,FALSE,17.72328556092642,99.83337646053573,252.15060498099518,546.7787888641966,748.5825589777929,700.0307278,446.7646103811046,258.7078544348727,242.3285238511457,267.3520051539794,338.47951429382044,356.6116403582609,346.4180264217243,300.0500909204071,260.90475017246246,224.9712606367048,174.2674022418517,138.28481828301727,109.81446379929457,100.32953700781579,92.91288263148954,69.50231038528747,43.95093140197371,48.90698034664285,27.246433619335836,22.878089157008944,15.668575525575605,12.312147993349459,9.308022021058285,8.228229743692411,4.801550003836876,3.509199356,0,0,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Gilles De Vleeschauwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MatchSession
08/03/26 13:36,08/03/26 15:26,Jens Kroon,8938.026297626016,,3,27,26.924402046203614,5.705123168697457,29.182344163163634,318.89635072922124,95.08538614495762,60,54,76.27865442,12.71497325207493,6.563165345240808,3.1927864597862228,1.0928569730031203,0.1575635533631391,FALSE,36.35972106905548,204.79392087091253,549.5015462861089,930.8069414168776,1203.398060773416,905.8854837,523.0523143272223,532.8887286671659,540.2814518432368,506.6517382935266,513.6135059407325,428.18951662814914,378.97868545489496,307.14397358284873,242.30668501938266,193.12098895927437,161.95366716398757,138.19371585215404,110.2580572291981,115.14774076985813,101.57409208658447,97.46602392,60.41752763,50.68536534788947,38.35033865190401,24.44102242008197,23.850245434501772,12.52954284450474,2.698500030173956,1.7435976979720256,1.7435977413566164,0,0,0,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Joris Gerard Bernard Eissens,3622.367666942492,,5,18,29.354401016235354,6.209773143329986,42.43920570340181,162.66760619309738,103.49621905549978,34,28,70.29374451058847,11.793695715819265,9.710159070947594,6.021274519371524,1.6541426759051432,0.5269835073680101,FALSE,14.754947515386437,83.05563089,171.47345142871552,294.3756163103074,356.9683167,289.8653677432662,163.6347193433287,145.61518787994933,174.7171685307374,199.73067687915713,214.0665285392918,217.99911786931446,210.96869083451148,179.8143133965807,156.75130919533188,148.2817788220757,104.15564958389002,93.35917792355022,79.34323377070791,66.31974598155801,55.45770094238187,48.37315045128861,35.37448766444255,22.841362198393664,22.613983774624256,20.43997750731502,18.038282431918585,14.056216831991648,7.538042826,7.628326959878614,0.8923891179280091,3.013481092666869,0.4241755687686113,0.4254604032666441,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Jorrit,9518.893702418776,,5,31,28.53720188140869,6.6410886295944955,51.143912812070305,305.89052246151334,110.68481049324159,42,48,68.57377528757885,14.21338142142304,9.920777805812428,5.7395555715382995,1.2262513243293898,0.32625858931798196,FALSE,22.118135396305313,120.91660906998598,296.96286087027727,741.2172144,1169.8532549187971,1059.7933290692501,440.00219350529403,449.6827905222276,496.8275827033667,594.8740624289717,609.8839232323669,571.7232852914054,521.1670460239493,443.75849357662094,383.09436385913403,336.73959755054227,269.0894807828899,219.82461572396898,182.71151655876088,124.67789238942564,103.35360760270198,78.98433642,61.409665828531935,58.84970709,45.5127225,41.50575381285501,22.63682868750594,22.430117029858856,14.52603537786847,8.460758530686558,4.678569483673299,0.7169334832587775,0,0.9104186865236311,0,0,0,0,0,0,MatchSession,
08/03/26 13:36,08/03/26 15:26,Jose Batista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MatchSession
08/03/26 13:36,08/03/26 15:26,Klāvs,10581.964067802717,,1,17,25.448400878906252,6.754445149661309,4.775751804,165.42034662605914,112.57408582768848,38,27,70.69896096123396,16.023960771835725,9.246664696924931,3.262155579293469,0.6968311779813178,0.071426813,FALSE,21.867949258391864,98.03022583131151,285.4670784423375,735.2161618422087,1422.4994124483871,1500.7000707838254,946.3614087617032,637.9880678636555,648.7187644780638,735.9806456,729.7294434658004,608.4290333,545.3424642172843,416.1211248634733,295.36465766446963,246.66389022184245,161.57646179632377,125.84459365362699,94.24455791465131,76.25489050147328,67.49105499469158,55.22742684922382,42.26036999556834,25.218566783545207,29.679575926186608,16.725192302380925,6.824143256465827,4.854075725740656,0.8585834649014831,0.4241755687686113,0,0,0,0,0,0,0,0,0,0,MatchSession,
